0,1
Marcus Thompson (Dem)State House Of Representatives - District 164,GSL164DTHO
Margo Barbee (Dem)State House - District 161,GSL161DBAR
"Marites """"Tess"""" Redding (Rep)State House Of Representatives - District 37",GSL037RRED
Marjorie Taylor Greene (I) (Rep)Us House Dist 14,GCON14RGRE
Mark Gonsalves (Rep)Us House Dist 7,GCON07RGON
Mark Newton (I) (Rep)State House Of Representatives - District 127,GSL127RNEW
Martin Cowen (L)Attorney General,G22ATGLCOW
Martin Momtahan (I) (Rep)State House Dist 17,GSL017RMOM
Marty Harbin (I) (Rep)State Senate - District 16,GSU16RHAR
Marvin Lim (I) (Dem)State House Of Representatives - District 98,GSL098DLIM
Mary Frances Williams (I) (Dem)State House Of Representatives - District 37,GSL037DWIL
Mary Margaret Oliver (I) (Dem)State House Of Representatives - District 82,GSL082DOLI
Mary Robichaux (I) (Dem)State House Dist 48,GSL048DROB
Mary Williams Benefield (Rep)State House Of Representatives - District 81,GSL081RBEN
Marziyeh Marzi Amirizadeh (Rep)State House Dist 67,GSL067RAMI
Matielyn Jones (Dem)State Senate - District 45,GSU45DJON
Matt Barton (I) (Rep)State House Dist 5,GSL005RBAR
Matt Brass (I) (Rep)State Senate Dist 28,GSU28RBRA
Matt Dubnik (I) (Rep)State House Of Representatives - District 29,GSL029RDUB
Matt Hatchett (I) (Rep)State House - District 155,GSL155RHAT
Matt Reeves (Rep)State House Of Representatives - District 99,GSL099RREE
Matthew Gambill (I) (Rep)State House Dist 15,GSL015RGAM
Matthew J. Helms (Dem)State House Dist 26,GSL026DHEL
Max Burns (I) (Rep)State Senate - District 23,GSU23RBUR
Melanie Williams (Rep)State Senate - District 43,GSU43RWIL
Mesha Mainor (I) (Dem)State House Dist 56,GSL056DMAI
"Michael """"Buckle"""" Moore (Dem)State Senate - District 19",GSU19DMOO
"Michael """"Mike"""" Ford (Dem)Us House Dist 9",GCON09DFOR
Michael Rhett (I) (Dem)State Senate - District 33,GSU33DRHE
Michael Smith (I) (Dem)State House Of Representatives - District 41,GSL041DSMI
Micheal Garza (Dem)State House Dist 46,GSL046DGAR
Michelle Au (Dem)State House Dist 50,GSL050DAU
Mickey Brockington (Dem)State House Of Representatives - District 169,GSL169DBRO
Mike Cameron (I) (Rep)State House Dist 1,GSL001RCAM
Mike Cheokas (I) (Rep)State House Dist 151,GSL151RCHE
Mike Collins (Rep)Us House Of Representatives - District 10,GCON10RCOL
Mike Dugan (I) (Rep)State Senate Dist 30,GSU30RDUG
Mike Glanton (I) (Dem)State House Dist 75,GSL075DGLA
Mike Hodges (Rep)State Senate - District 3,GSU03RHOD
Miriam Paris (I) (Dem)State House Of Representatives - District 142,GSL142DPAR
Mitchell Horner (Rep)State House Dist 3,GSL003RHOR
Mitchell Scoggins (I) (Rep)State House Dist 14,GSL014RSCO
Mokah Jasmine Johnson (Dem)State House Of Representatives - District 120,GSL120DJOH
Montenia Edwards (Dem)State House Dist 64,GSL064DEDW
Nabilah Islam (Dem)State Senate - District 7,GSU07DISL
Nakita Hemingway (Dem)Commissioner Of Agriculture,G22AGRDHEM
Nan Orrock (I) (Dem)State Senate Dist 36,GSU36DORR
